ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
S100-MK-y01,1,-0.649055105,-0.620590316,0.316610085,-0.121242556,0.380927499,-0.233100604,0.043690699,-0.259075787,-0.442975183,-0.761487754,0.122175758,-1.63982917,-0.836154809,-0.612463334
S101-TK-y02,1,0.776193796,0.230918166,0.580090632,0.463315058,1.705246923,-0.150377486,-0.147426952,,0.341330506,0.268855418,1.145895597,1.313129602,1.476037241,1.062762452
S103-RA-y03,1,0.601490181,-0.477684388,-1.119297203,1.207235205,0.736165155,2.087745985,1.498953208,-0.614851479,-0.200824846,-0.313477562,0.013926525,2.094158362,1.777744803,1.276626225
S104-TK-y04,1,0.596811953,0.081828959,0.296148322,-0.878270544,0.880421192,1.181472897,0.778162797,-0.358970716,-0.064595765,0.257185798,1.127241898,0.70365787,-0.280041511,-0.25293237
S105-NK-y05,1,0.309339186,-0.1893945,-1.808763066,1.24675691,0.34057084,,,0.114662967,-0.717925933,-0.530866825,-0.80103422,1.726039671,0.961228323,1.000475223
S107-EB-y06,1,-1.048487658,-1.110369573,-0.085253813,0.069844173,0.979469231,-1.269952414,-0.793490394,-1.107827166,-0.054890563,-0.601560008,0.99003567,0.280660923,0.434362292,-0.009220544
S108-MM-y07,1,0.863602273,1.42870765,1.832572061,-0.881885643,1.959536267,1.889321679,1.443495659,-0.511897185,1.068505494,0.850930037,1.029112539,0.378740806,0.302525549,0.218174693
S109-TK-y08,1,-0.140432157,-0.443526019,-0.612288991,-1.611030305,0.853544139,1.323514839,0.423676081,-0.710981841,-0.580706439,0.087187054,0.906387349,-0.413663258,-0.547622816,-0.065569033
S115-EA-y09,1,0.863602273,1.690638625,1.315164251,2.622233945,-0.214621304,-1.568777473,-2.325555514,-1.122782997,1.510934605,1.517971783,-1.064357704,1.296028947,1.325021398,0.844851647
S116-EB-y10,1,0.687295527,0.047583446,0.37181253,0.318007143,-0.542281507,0.100977009,-0.01307991,-0.507804768,0.471597545,-0.236569164,-1.162299376,0.105609881,0.651296212,0.631823401
S118-TK-y11,1,0.776193796,0.132024546,-1.024096499,1.285967258,1.560314132,3.229010702,2.45897577,-2.8182558,-0.952136739,-0.855810711,-0.384054078,1.746808588,1.312473845,1.487949592
S119-EKh-y12,1,0.863602273,1.002743105,0.965278424,-0.24790183,1.60169873,1.244571746,-0.604496186,-1.536671634,0.527878761,0.781436208,0.615866016,-0.438304409,0.831974392,0.683246939
S120-GK-y13,1,-0.590927858,-0.546211087,-0.618664508,-0.624572061,-0.89683092,0.167363168,-0.005393225,-1.216582973,-0.401975105,-1.469857105,-1.318975304,0.337888407,0.356232852,1.039898677
S122-KK-y14,1,0.286496919,-0.357053852,-0.041209483,0.317622547,-0.438878852,-0.782674717,-0.709287887,-0.600360577,0.368500207,0.026744603,-0.641899209,0.428103917,-0.858387353,-0.110623675
S123-NKh-y15,1,0.863602273,1.312480537,0.952337686,-1.159036984,0.384154669,-0.49217316,-0.578716306,-0.753609507,1.042398183,0.431986677,-0.188212607,-1.234833403,-0.432229336,-0.124547207
S126-DKh-y16,1,0.586935577,-0.083070747,0.064809498,-1.07416722,1.021811127,-1.334735846,-2.362475281,-2.915433886,-0.131578545,-0.004654464,0.668993827,1.239603885,0.502603544,2.263336359
S128-DL-y17,1,0.582750612,-0.367388796,-0.218810642,-0.677026338,-0.697197738,-2.409109337,-0.160167869,-0.251771665,-0.809453836,0.004654464,-0.620903686,-1.415760314,-0.082096621,0.012546899
S129-TG-y18,1,0.776193796,-0.043829161,0.327592106,0.753899023,-0.254188384,-0.230243255,0.169754836,0.097624299,0.652218287,1.198623384,-0.060830506,0.862437984,1.380312635,1.219182809
S130-TK-y19,1,-0.440722342,1.061336878,0.775943438,-1.274365295,0.806064163,-3.161232456,,,0.516764687,0.386983645,-0.149182648,0.959556264,1.478898265,2.421314973
S131-DK-y20,1,-0.749069684,0.621951685,-0.302086671,1.27092219,0.73541498,-0.293429913,0.848937402,-1.147043336,-0.085303472,-0.062285377,-0.450127496,1.820428286,1.430756113,0.520834632
S140-TG-y21,1,0.771673904,0.776177397,0.342029572,0.309799302,0.834253938,0.104117118,-0.372485824,-0.395317319,0.587176415,0.284621739,0.564664047,1.137582899,1.255168304,0.455133864
S141-AT-y22,1,0.091663318,1.986918499,1.622207701,2.199423122,1.420002697,-3.397269162,,-1.308578769,0.535857449,0.491626078,1.024750486,1.940809405,1.83954812,1.17012282
