,ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
79,S159-TM-o30,2,-0.31021902,-0.578793334,1.409079574,-1.974410936,-8.16693e-05,2.471026539,1.874423507,0.690774588,-0.680957581,-0.390341007,0.213558073,-2.158038687,-1.446609518,-1.060066472
80,S160-OSL-o75,2,-0.422999049,-1.239219129,0.173974432,-0.325298302,0.321198377,-3.443348689,0.179401546,-0.443011643,-0.436737577,-0.772793016,0.707960334,0.430539225,-0.708974892,-0.265182346
81,S161-Dkh-o61,2,-1.044977018,-0.999648512,-0.377740534,-0.68731337,-0.304485047,0.014715648,0.664132815,0.225917198,-1.192645695,-1.016767029,-0.224910502,-1.147874217,-1.098616236,-0.986612267
82,S162-SJ-o62,2,-1.228786497,-0.524039312,-0.256727722,-0.087082004,0.131199138,-0.040939447,-0.168220592,-0.323610449,0.98460981,0.001850011,0.931736468,-1.52472834,-1.352530354,-1.471341283
83,S163-NL-o63,2,-1.658324432,-0.750905697,-1.123813016,0.453960663,-0.745250396,0.324857051,0.019112492,0.272393251,0.414003998,0.494678106,-1.049809111,-1.277688329,-0.684792665,-2.128891899
84,S184-GC-o301,2,-0.086383907,-1.9728657,1.013859666,0.221798907,-0.955542579,0.076200793,-0.382340935,0.143610884,0.541149731,0.389258485,-0.247840578,-1.417096253,-0.068593223,0.015378588
85,S185-RK-o302,2,-1.199917819,0.633615713,0.339195449,-0.020241871,0.769675816,-0.158810219,0.884186136,2.196152262,-0.413141225,-0.195228681,0.797038808,-0.659385849,-0.776269636,-0.454800062
86,S186-LC-o303,2,-0.204183571,0.663784397,0.049760563,1.480756013,0.08027957,1.858334405,0.111090936,0.15913953176363635,-0.965516784,1.145805953,-0.672113735,0.560969225,0.639298339,-0.06953903
87,S187-LC-o304,2,-0.647483389,-0.944136481,-0.130839017,0.798648212,-1.108922685,1.051116889,0.621030952,0.618672518,-0.905005528,1.101089369,-0.397117176,-0.812501299,-1.291957138,-1.484672834
88,S188-DD-o305,2,-0.927865102,-2.115017563,-0.303020713,-0.792747937,-1.310389893,-0.064197873,-0.25162809,-0.008015727,-1.014577241,-1.122930749,-1.227130221,-0.475804878,0.120082972,-0.608342963
89,S189-GQ-o306,2,0.875155293,-0.079061771,2.61249056,-0.659963849,-1.213026323,2.77897534,2.32945949,2.165770197,1.374488597,-0.052767483,-1.48581417,0.761002652,-0.735320416,-0.656904047
90,S190-NL-o307,2,-1.274566411,-0.887243286,-1.011151704,-0.612310461,0.045253973,0.462520382,0.411333983,-0.016122781,-0.117726367,-1.195641464,-0.065796313,-1.809687426,-2.317988116,-2.220309433
91,S191-GG-o308,2,-1.726280443,0.133049562,1.486448356,0.12239199,0.382502685,-0.209438404,-0.735763064,-1.512000305,1.246478522,-0.543493158,0.340385275,-1.872203233,-1.392394767,-1.322929833
92,S192-SK-o309,2,0.115354599,-0.604766168,-0.413121555,0.60336541,-0.376676882,0.21079889184615389,3.421911607,0.15913953176363635,-1.250695855,-0.149555948,-1.177766551,0.53481427,0.130376075,1.248834745
93,S193-MU-o310,2,-0.413010098,-0.322933184,2.804568576,-1.116478461,-0.486967884,-0.29994968,-0.665149351,0.036126132,1.687675557,-0.597773553,-0.461038213,0.057449802,0.383842952,0.076708464
94,S194-RG-o311,2,-0.84784967,-1.849981547,0.090018898,-1.044403367,-0.760377627,-0.049403721,0.238580339,-0.277796043,-0.332607863,-0.92429451,-0.421375208,-0.46653672,-0.237161988,-0.888071485
95,S195-MM-o312,2,-0.109542721,-0.224619819,0.122106796,0.630447087,-0.581268557,0.360330313,-0.049576871,0.050313216,-0.399505398,0.232081278,-0.029199122,-0.807817413,-0.831070394,-1.79680897
96,S196-LI-o313,2,-1.6421624,1.161502314,3.158451383,-0.689819146,1.3653788,0.21079889184615389,0.28993579821818183,3.046236483,1.042086825,-0.980290146,0.870545176,0.47503356,-0.871436345,-1.021687018
97,S197-MJ-o314,2,-1.258893307,-1.235695687,-0.452185414,0.274327638,-1.025054182,0.680617797,0.407386954,0.38282319,0.06314572,0.627937112,-0.838560482,-1.239164826,-0.83814988,-1.338729801
98,S198-CJ-o315,2,-2.017162877,-0.429043877,0.028082646,-1.116553247,0.259295852,0.52287241,2.270646791,2.143256936,-0.869964136,-0.684370383,-0.752207567,-0.541514925,-1.267495807,-0.034522419
99,S199-LC-o316,2,-0.563100339,0.176663141,0.793080953,-0.347106612,0.275875439,0.21079889184615389,-0.153545725,0.378449043,-0.718515554,-1.222136546,0.437377367,-0.059364983,-0.254309596,-1.08495736
100,S200-GF-o356,2,-0.354081195,-0.521645606,-1.051963562,0.619777906,-0.65090642,1.268074759,1.093877376,1.042579752,-0.352781371,-0.031724107,-0.871458955,0.365326948,-0.945671302,-0.352351686
101,S201-EC-o358,2,-0.82999811,0.14772181,-0.867107859,-0.058169379,-0.142566866,-0.117780657,-0.077149411,0.010443339,-0.011156016,-0.429736977,0.360002204,-0.588467845,-0.850344596,-0.726250147
102,S202-XD-o359,2,0.593625239,0.557805349,-0.983032459,0.813632533,-0.344677364,0.994041369,1.2833712,0.889996424,0.348143786,0.601579029,0.41192924,-0.362810842,-2.206195527,-0.128870883
103,S203-NC-o360,2,-0.212921522,0.287872234,0.43566334,1.451572873,-1.034283609,1.051167094,1.316348438,1.742311448,-0.418965746,1.623300498,-0.524294374,-0.640501385,-0.161723118,-1.480910704
104,S204-NG-o361,2,0.582063431,-1.259613615,0.04682221,0.004388378,-1.369173545,0.204396756,0.024569132,0.093454551,-0.65447652,0.526309708,-1.125900166,-1.068529379,-0.218434715,-0.995831395
105,S205-MN-o365,2,-1.481997746,-1.540007435,0.06732543,-0.123547382,-1.093317019,-0.006826897,-0.413210214,0.164471302,-0.626788425,-0.234435422,-0.730394922,-0.448444346,-0.115569916,-1.403323559
106,S206-KR-o366,2,-0.586988545,-0.920571551,-0.012972036,-0.242798234,-0.753419472,-0.221402524,-0.452690089,-0.324418884,-0.19691041,0.163967922,-0.30704314,-0.722081542,0.208909468,-0.388157309
107,S207-NS-o367,2,-0.615424222,-0.44188792,-0.599344412,-1.795232192,0.588665689,0.330201658,0.777872306,-0.309577887,-0.955929742,0.767469771,0.678456789,-1.083132806,-0.935722015,-0.978845664
