,ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
79,S159-TM-o30,2,-0.004584422,-0.286173176,-0.274451192,0.816359111,1.096740621,-0.068563729,1.339834893,1.265045568,0.498430724,0.330944048,0.417437386,-1.020313002,-1.109042257,-1.107341981
80,S160-OSL-o75,2,-1.719544941,-0.7263491,-2.540035915,0.689309155,-0.542718491,-0.633724826,0.884878478,0.206451672,-0.211295468,1.430999452,-0.165639849,-0.237955174,-0.942314124,-1.391071018
81,S161-Dkh-o61,2,-1.628076101,-0.203258929,0.536406816,-0.341922336,-0.622529054,-0.184723854,0.153630551,0.099871159,-0.009465669,-0.670833997,-0.864542441,-0.718695055,-0.838612116,-1.032159468
82,S162-SJ-o62,2,-1.495414091,-1.151229784,-0.72186729,-0.019263545,-0.018731999,0.603322608,-0.212077686,-1.05486075,-0.328962684,-0.137160563,-0.476558736,-1.22815362,-0.854624177,-1.396286531
83,S163-NL-o63,2,-0.338412965,-0.938802283,-0.784146935,0.95735692,-0.123244836,0.449295689,0.783719588,0.882988109,-0.344404026,0.361967729,-0.849931517,-1.297559828,-0.731901323,-1.903233404
84,S184-GC-o301,2,1.294991904,0.637848561,0.618700577,-0.323984872,0.411518945,0.534042906,-0.001540532,0.315241617,1.596504341,-0.678166003,-0.138002981,-1.327645793,-0.332753641,-0.957807511
85,S185-RK-o302,2,0.929645519,0.72120453,0.982959442,0.424331517,1.06169304,0.100762647,2.344787758,-0.09711568585714285,0.65390012,-0.030635396,-0.027545297,-0.247244597,-0.814928537,-0.381285988
86,S186-LC-o303,2,-1.206077165,0.952597789,0.965005684,0.502760943,-2.954434562,1.116355784,1.052201235,-0.030376824,-0.069214282,0.320333279,1.724388921,0.77850747,0.198990572,-0.100219234
87,S187-LC-o304,2,-1.71483788,-1.866264573,-1.05442824,0.663852928,-1.216108874,0.847179179,1.05360226,0.771595983,-1.019057225,0.567874956,0.914148105,-0.249715412,-0.638966953,-1.182829228
88,S188-DD-o305,2,0.705483664,1.189563054,1.224514964,0.697503677,-1.720349825,0.198500656,0.277098466,-0.08878874,1.095430278,0.280796926,0.74347142,-0.596579962,-0.552190614,-0.184409648
89,S189-GQ-o306,2,0.649452709,0.84490856,1.580327809,-1.366628408,0.363795292,-0.241092232,0.177501972,0.552492974,1.349660113,0.804310258,-0.173995833,0.506038943,-0.539465137,-1.160553983
90,S190-NL-o307,2,0.205463373,-1.341465939,-0.900492812,1.361947565,-0.819637263,0.838091704,0.478503438,0.198135033,-0.424609878,1.771784974,0.956297451,-1.558345342,-0.686782772,-0.51560433
91,S191-GG-o308,2,-1.275634947,2.142553963,2.431918532,2.664463601,-0.749474982,0.133995911,0.313796469,-0.331689582,1.770747683,1.414696275,-0.001020739,-1.634795823,-1.298254771,-1.540328756
92,S192-SK-o309,2,-0.303943129,-0.446836119,0.334922481,-0.49363468,-0.582045009,-0.320451343,-0.880117666,-0.844224368,-0.392816456,-0.696473989,-0.863310684,-0.400244644,-0.552126926,0.051572918
93,S193-MU-o310,2,-0.654156406,1.90473245,1.713400369,-1.124101246,-1.185292564,-1.09880139,-0.521379906,-0.395993227,1.87514045,0.548582084,1.384714904,-0.311305388,-0.14508197,0.376524858
