ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
S164-MS-y201,1,1.04887768,0.516176363,0.922949434,-0.307294636,-0.143587365,-0.941124267,-0.799591591,-0.359893563,1.686500934,0.427562966,-1.018248278,0.865745445,0.584920566,0.246804989
S165-SB-y202,1,0.512424024,-0.03943208,-0.500021603,0.145542352,2.662974386,1.409078333,1.125662119,,-0.70482856,-0.804542286,1.518344454,0.990353138,0.353723168,0.790781028
S166-TB-y203,1,0.348980893,-0.493494287,-0.036833936,0.279782858,-0.187655303,-1.608789604,-0.933942766,-1.59378608,0.630787762,-0.483780368,-0.72971095,0.443428953,-0.535096801,0.253667364
S167-MM-y204,1,0.331645146,1.154165229,1.257164985,-0.127773985,2.272352657,1.773045564,0.733155655,2.628088868,0.127026981,-0.241865425,1.050221847,0.67081504,0.428083053,1.34919263
S168-QZ-y205,1,0.677939656,1.932498337,2.386058694,-0.129776073,0.579545045,-0.153551771,-0.82018218,0.814233519,1.33564544,-0.721122008,-0.112876191,1.177517553,1.184721368,1.203475106
S169-GU-y206,1,0.495848634,-2.326906794,-1.278208171,-0.727223923,0.439216287,0.771407257,0.28636876,0.20984507,-1.601234206,-1.083259436,0.093089261,-1.239240017,-0.493339263,-0.521573165
S170-LM-y207,1,0.727851749,1.433750895,-0.601750963,1.018556427,-0.262726804,,1.538967829,0.697289668,1.229225712,0.116591126,-0.823007388,0.70552715,1.017704796,-0.182730729
S171-GD-y208,1,0.396552125,-0.618094925,-0.650876131,2.235953515,1.329760092,0.757235889,0.823909961,1.073214091,1.480571046,0.773858969,0.596579287,0.487010839,0.693042843,0.407799766
S172-LS-y209,1,-0.597406361,0.420392717,0.547027034,-1.0701245,1.043601326,2.078589274,0.258871331,-1.02031462,0.216091016,-0.345005309,-0.330702304,1.006063005,0.818337208,0.659280182
S173-MN-y210,1,0.507267838,-1.368764763,-0.678268757,0.185129171,-0.342327859,0.003076528,0.25361614,0.320230224,-1.249613542,-0.182811851,-0.892876692,0.088366734,0.879332354,0.752379271
S174-LK-y211,1,0.792783089,0.88270219,1.588958226,-1.351382342,0.040484774,-0.860611324,-1.183838333,-0.819955653,1.063785203,-0.11580748,-0.913562863,0.67818496,1.18462937,1.416649387
S175-SJ-y212,1,-0.065759514,-0.586563189,0.179614707,0.231398087,-0.233868144,0.820458562,0.164132253,-0.110122311,0.73302895,0.013703271,-0.11167501,-0.343447126,0.574511863,0.413532496
S176-KK-y213,1,0.819224308,-1.141145753,-1.027516921,0.102896809,1.721083324,-0.000500558,-0.43220829,-0.984337909,-0.081093794,-0.511974785,0.925172243,0.348070525,0.684331288,1.224732152
S177-KK-y214,1,0.724889633,0.176823811,-2.224617632,0.444480787,-0.537688557,0.495570404,-0.137187574,0.068833687,1.458149039,0.334899792,-0.262403456,0.458681903,0.854217114,0.518459176
